"id","SalInicial","Genero","Antiguidade","Idade","SalActual","Educ","Experiencia","Categoria"
628,12400,F,81,28,20080,16,0.25,4
630,28000,F,73,40,45400,16,12.5,5
632,14200,F,83,31,25960,15,4.08,5
633,12700,F,93,31,23200,16,1.83,4
635,21400,F,83,41,32350,19,13,5
637,16996,F,80,29,31250,18,2.42,4
641,10900,F,79,28,20080,15,3.17,1
649,9400,F,67,28,18100,15,0.5,1
650,9040,F,96,27,16420,15,1.17,1
652,10300,F,77,52,16300,12,26.42,3
653,10300,F,84,33,19720,15,6,1
656,10000,F,88,54,12880,12,27,1
657,14500,F,93,32,26000,17,2.67,4
658,14800,F,98,41,26800,15,12,5
659,17200,F,64,31,23020,19,2.25,5
660,9640,F,94,46,16300,12,20,3
669,17500,F,81,30,26200,19,5.17,4
671,10900,F,72,32,14380,15,6.92,1
683,10300,F,70,58,12520,15,31,1
685,15004,F,89,34,31500,17,3.17,4
690,11200,F,79,46,15460,15,21.75,1
696,14992,F,83,35,24500,16,5.75,5
697,20992,F,85,43,31700,20,11.17,7
702,12700,F,65,28,32000,16,1.58,4
704,17992,F,65,39,26000,19,10.75,5
706,16804,F,78,30,31250,19,2.92,4
707,17992,F,83,30,31000,17,0.75,5
708,10600,F,70,44,13000,12,18,2
709,14992,F,91,30,35300,18,3.92,4
712,10300,F,70,26,15760,15,1.25,2
715,10000,F,84,29,19540,15,4.42,1
717,16996,F,75,41,26000,18,10.42,5
719,16996,F,68,28,28000,17,1.42,6
722,9880,F,70,27,14980,12,3.42,2
726,17200,F,78,32,33400,19,3.75,4
734,9400,F,97,31,14920,12,5.5,1
735,14992,F,96,39,28150,19,8,4
736,10600,F,94,36,17920,15,7.75,2
739,10300,F,78,63,16300,8,35.75,3
740,11800,F,83,38,15736,12,12.5,1
745,9700,F,96,30,17020,15,3.58,2
751,10600,F,95,33,18040,15,7.5,1
756,14200,F,78,35,20020,15,11.08,5
757,11500,F,98,35,20080,16,3,1
759,12400,F,93,30,25250,16,4,4
760,11800,F,78,28,20140,16,1.67,1
761,10000,F,84,63,16300,8,31.67,3
764,12160,F,84,29,19000,15,2.75,1
765,10000,F,87,31,15040,12,6.25,2
766,14992,F,90,34,25950,16,5.67,4
767,9700,F,65,25,15400,15,1.67,1
769,13492,F,94,34,28000,16,4.92,4
771,10000,F,72,28,15340,15,4,2
777,13492,F,78,38,19480,15,14.67,5
778,22000,F,66,34,38500,18,4.17,7
779,35992,F,96,49,58000,19,16.58,7
782,10300,F,82,29,16060,15,6,1
783,15100,F,82,44,17848,16,12.42,1
785,10300,F,68,28,16120,15,4.58,2
786,10300,F,82,29,36000,15,2.83,2
787,10000,F,81,30,14620,15,4.33,2
791,10300,F,69,63,16000,12,29,3
797,17200,F,68,29,28500,19,0.75,5
801,10000,F,67,26,19120,15,3,1
802,10000,F,97,29,20320,12,2,1
806,11800,F,68,31,18400,19,1.75,1
808,22996,F,86,42,30400,16,12.5,5
812,10300,F,67,28,16480,15,3.83,2
816,10000,F,71,26,15220,14,1.25,2
821,10600,F,79,30,15100,15,4.58,2
822,9820,F,93,29,12760,8,3.42,1
827,10000,F,66,29,16300,12,4.67,1
829,10300,F,66,27,17416,12,3.92,2
830,10600,F,83,31,19840,15,3.92,1
836,10000,F,83,29,15640,12,4.17,1
837,16000,F,93,31,35250,19,0.58,4
838,16000,F,89,35,27750,20,0.5,5
842,10840,F,92,31,14380,15,3.5,1
843,10300,F,92,32,16660,15,5.33,2
844,10600,F,64,31,17560,12,8.83,2
850,10600,F,83,33,17260,15,5.75,2
856,10600,F,67,29,15760,15,5.67,1
857,11200,F,65,41,15520,12,17.5,2
859,12700,F,84,30,27500,16,1.08,4
860,16300,F,78,29,30000,17,2.17,4
861,10300,F,80,61,16240,12,38.33,3
867,10000,F,85,58,16780,8,36.5,3
868,10000,F,94,31,18220,12,4,1
870,13000,F,91,33,28250,16,3.67,4
872,12796,F,76,32,23500,16,5.08,4
874,11800,F,86,30,25060,16,1.67,1
875,10000,F,94,30,22060,15,3.33,1
878,10300,F,89,31,16600,15,1.83,1
880,9700,F,95,29,13300,12,3.83,2
882,9640,F,92,34,13660,12,10.83,1
883,10600,F,77,27,16300,15,3.42,1
887,14500,F,94,39,33500,18,4.67,4
892,11800,F,81,33,24220,15,3.67,1
894,19000,F,88,56,30000,21,22,5
896,12496,F,93,29,22400,16,2.92,4
897,10300,F,65,63,13780,15,28.17,1
898,10300,F,69,59,15400,8,14.5,3
901,12100,F,66,30,17980,16,4.58,1
903,9700,F,96,32,16480,15,4.5,1
905,16792,F,69,28,30000,19,6.17,4
907,14992,F,80,45,24850,19,18.42,5
908,10000,F,82,30,14140,12,2.67,1
909,10600,F,66,30,20140,15,6.67,1
911,10300,F,91,30,19960,14,4.92,2
917,9400,F,94,63,14020,12,37,1
920,18496,F,78,39,24580,18,12.42,5
927,10000,F,87,39,14320,12,11.92,1
928,16996,F,77,48,24000,16,22,5
930,18004,F,91,34,42800,19,5.67,5
931,9700,F,96,29,18460,12,6.92,2
932,16792,F,79,29,30750,18,2.5,1
933,10300,F,74,63,16780,8,34,3
934,10600,F,90,32,19120,14,5,2
938,15496,F,92,31,33000,19,0.83,4
939,10300,F,79,54,16000,12,25.67,3
946,11200,F,77,30,17800,15,5.25,1
950,25000,F,83,49,30700,16,21.5,7
951,16500,F,65,28,40250,19,1.5,5
958,10300,F,78,59,18100,12,32.25,3
959,10300,F,77,29,14500,15,3.17,1
960,12592,F,93,30,22100,16,3,4
961,10300,F,66,28,16108,12,6.67,2
962,9700,F,95,30,15700,8,4.17,1
965,12700,F,79,29,37500,16,1,4
966,9700,F,97,31,22400,15,4,1
968,10300,F,76,27,21364,15,1,2
973,22000,F,96,39,48250,19,10,7
974,10420,F,66,60,14500,8,22,1
975,10000,F,76,57,12820,12,32.08,1
977,13300,F,86,32,22250,16,5,4
979,10000,F,96,32,20800,15,5.67,2
982,11800,F,65,29,21460,16,1.58,4
983,10300,F,91,31,14980,15,4,2
984,10000,F,78,30,14380,14,4.42,1
985,9700,F,78,28,14020,15,2,1
990,10000,F,88,46,16360,12,21,1
993,18700,F,80,42,28750,19,16.58,5
996,17992,F,75,35,29000,18,6.17,5
997,12400,F,98,38,22000,15,11.5,1
998,19996,F,96,44,40800,19,14.58,5
999,9400,F,95,56,16300,12,25.58,3
1001,12496,F,74,29,22900,16,3.75,5
1003,14500,F,87,39,20920,16,10.5,4
1005,15004,F,97,37,45500,16,5.83,5
1007,10300,F,70,29,15940,15,4,2
1009,10600,F,79,30,17560,12,7.83,2
1014,9100,F,78,25,14680,12,2.08,1
1017,10900,F,75,34,14920,15,11,1
1019,10000,F,83,50,17500,12,23.67,3
1020,9700,F,97,31,20920,12,8.58,1
1021,10600,F,69,34,16060,14,9.17,1
1022,12400,F,79,28,26600,16,1,4
1025,10000,F,87,64,16300,8,37.58,3
1026,18016,F,67,36,32000,19,6.25,5
1027,14992,F,92,32,31500,19,0.67,4
1029,10900,F,89,40,14920,12,14.58,1
1033,10000,F,94,33,14800,12,10,2
1035,10300,F,78,61,13600,8,39.67,1
1037,14000,F,93,33,26620,16,2.83,5
1040,9400,F,94,32,14740,15,0.42,1
1041,12496,F,77,29,21950,16,1.83,1
1044,10300,F,70,28,14140,15,4.67,2
1045,10240,F,85,55,14500,8,14.25,1
1046,12100,F,93,31,20440,15,2.25,1
1047,9400,F,91,27,16660,15,1.5,1
1048,10300,F,67,32,17560,15,8,1
1065,21004,F,65,34,34000,19,4.5,6
1067,9700,F,65,25,16660,15,0.83,2
1070,9400,F,98,35,16840,15,5.58,1
1071,10300,F,63,27,19660,15,3.83,2
1075,17992,F,93,46,37000,17,17.25,7
1082,15796,F,91,31,40500,19,1.92,4
1084,10000,F,78,29,14740,12,4,1
1088,10000,F,66,29,16960,15,5.33,1
1089,16000,F,96,32,36500,17,1.5,4
1093,10600,F,73,30,18280,12,6,1
1094,11500,F,98,37,18400,15,9.5,1
1097,15496,F,65,28,28750,19,2.17,5
1101,16600,F,81,31,34000,19,1.08,4
1103,10300,F,82,30,15940,12,7.08,2
1109,9640,F,90,32,17380,15,7.08,1
1111,10600,F,67,30,14860,15,6.5,2
1112,10300,F,89,34,14800,15,7.25,1
1114,10600,F,90,31,16120,15,1.33,1
1117,16996,F,69,34,30750,19,6.75,6
1120,10000,F,86,29,16360,15,2.08,1
1123,10900,F,83,34,14920,15,7.58,1
1124,10300,F,94,30,17560,15,6.5,2
1126,8620,F,80,24,12520,8,2,1
627,9100,M,95,53,12940,15,13.75,1
631,8800,M,98,64,12580,12,31.75,1
644,8500,M,80,24,11860,12,0.42,2
645,8500,M,65,23,12700,12,0,2
646,9280,M,98,46,12760,8,15.83,1
648,8800,M,81,24,14980,8,0.75,2
651,9400,M,69,25,13660,15,0.58,2
662,8980,M,69,24,13780,12,0,2
663,10900,M,85,32,18280,16,1.58,2
664,9280,M,88,62,12040,8,7.5,1
666,8500,M,80,24,12940,12,0.42,2
667,8800,M,77,42,13000,12,5.25,1
673,8800,M,76,40,12820,12,0.5,1
674,11500,M,84,59,17800,12,17.33,1
675,8800,M,69,23,12640,12,0,2
680,8980,M,69,24,15160,12,0,2
682,8500,M,66,23,12160,12,0,2
684,9100,M,63,56,12580,12,11.58,2
686,11200,M,93,29,25600,16,0.92,1
691,8200,M,93,25,14560,12,0,2
698,8500,M,81,24,13060,12,0,2
700,10600,M,95,55,16000,12,19,1
701,10600,M,73,24,12880,12,0.58,2
710,10600,M,86,28,15760,15,2,2
711,9400,M,86,27,17320,15,2,1
713,11800,M,93,60,17560,15,16,1
714,8980,M,69,23,15640,8,1.42,2
716,8500,M,81,24,14920,12,0.42,2
718,9520,M,82,46,13600,12,8.08,1
720,8620,M,93,28,13660,15,0,2
721,9400,M,88,28,12940,12,2.17,1
723,8490,M,81,24,15100,12,0.42,1
724,8500,M,80,25,13360,12,1.5,2
728,9700,M,76,55,13000,12,7.5,1
729,8500,M,69,23,13060,12,0.17,2
731,10600,M,85,31,15400,12,5.75,1
732,11500,M,68,51,14080,8,28.67,1
737,11992,M,84,43,18400,12,20,1
738,11500,M,81,32,25750,16,6.75,4
741,7900,M,98,27,12760,12,0,1
742,9400,M,64,45,13360,12,16.5,2
743,11500,M,90,61,16600,12,17.08,2
746,8380,M,80,25,13720,12,0.67,2
748,8080,M,70,63,10300,8,22.92,1
749,8080,M,81,57,10960,8,32.5,1
750,8620,M,93,26,15700,15,0.92,2
753,8500,M,69,23,12340,12,0,2
754,7900,M,92,55,10480,8,0,1
758,13996,M,89,52,20620,16,23.75,5
762,8500,M,80,25,15400,12,0.33,2
763,10600,M,84,61,15640,8,2.92,1
770,8800,M,75,51,13780,12,12,1
772,10120,M,78,52,13360,12,17.42,1
774,8560,M,93,25,15040,12,0.5,2
780,9340,M,88,27,18220,15,2.67,2
781,8500,M,92,26,12040,12,2,2
784,9220,M,70,55,11860,8,8.5,1
788,9100,M,66,46,13660,8,8,1
790,8620,M,74,24,14440,12,0.17,2
793,9700,M,90,29,16660,12,4,1
796,11800,M,82,58,15100,15,22.08,2
800,8080,M,82,51,12940,8,4,1
803,8800,M,76,26,14200,15,0.58,2
809,9100,M,65,24,13000,12,2,2
810,8380,M,92,25,13600,8,0.5,1
813,9580,M,73,25,13180,15,1.83,2
814,9700,M,77,30,14260,12,5.33,1
815,8920,M,69,23,13180,12,0.42,1
818,11800,M,64,26,17140,16,1.67,2
824,9400,M,66,44,13540,15,10.17,1
826,8080,M,72,61,11080,8,15.33,1
828,8200,M,93,25,13180,12,0.83,2
831,8080,M,85,55,10840,12,6,1
832,8080,M,74,55,10360,8,3.58,1
834,8380,M,92,25,14380,12,0,1
835,9400,M,65,50,12640,8,14.42,1
845,11200,M,81,26,20320,12,0.33,1
847,8500,M,77,24,12520,12,0,2
848,9400,M,66,25,15880,12,2.17,1
849,8500,M,96,30,16540,8,4.33,1
851,9400,M,70,52,12400,12,6.83,1
852,9760,M,91,33,14080,12,6.92,1
853,9520,M,67,57,12880,12,16.33,1
858,9640,M,90,30,14080,12,4.58,1
862,8800,M,73,49,13240,12,19,1
863,11200,M,75,29,17200,16,2.17,2
864,9400,M,66,64,12640,8,19,1
865,8500,M,80,24,11980,12,0.67,1
866,16000,M,73,31,26700,16,1.25,5
869,8080,M,82,60,10480,12,0,1
871,8380,M,81,24,13240,12,0,2
873,10000,M,76,27,15664,12,1.83,2
876,8500,M,80,24,13360,12,0,2
877,9100,M,82,27,12760,15,0,1
879,8980,M,69,23,16240,12,0.42,2
885,8380,M,81,24,13000,8,0.42,2
886,8080,M,76,59,10720,8,6.33,1
888,8500,M,69,23,12160,12,0,2
902,8260,M,74,51,13480,8,23.42,1
904,9400,M,77,27,15940,12,3.17,1
906,8620,M,97,53,14500,12,4,1
912,8620,M,81,24,14680,12,1.5,2
913,9100,M,73,55,15640,17,31.25,2
915,9400,M,72,49,13420,15,4.08,1
916,10300,M,66,32,13780,12,7.25,1
919,8500,M,81,25,13960,12,0,2
924,8380,M,81,25,11860,12,0.92,2
929,10900,M,80,30,17800,16,0.25,2
937,11200,M,71,30,18640,16,1,2
941,8380,M,81,24,12820,12,0.75,2
942,10996,M,79,28,21200,16,1.67,4
943,10300,M,90,29,19120,16,0.58,4
945,7900,M,86,52,12760,12,13,1
947,9160,M,87,26,14680,12,1.5,1
949,8080,M,72,52,11980,12,4.67,1
953,8620,M,91,63,12400,12,9,1
954,9100,M,98,47,15160,15,9.58,1
955,8800,M,81,24,14200,12,0.92,2
957,11200,M,71,27,27250,16,0.92,6
963,9580,M,88,27,15400,12,2.83,1
969,8080,M,68,62,10480,12,15,1
970,8440,M,67,27,16540,15,3.92,2
980,10300,M,82,29,13300,16,0.33,2
981,8860,M,77,24,17800,12,0.33,2
987,9820,M,93,31,17920,16,0.67,1
988,8800,M,79,50,12340,8,5.83,1
989,9400,M,98,47,13600,12,20.33,1
991,8020,M,92,44,13840,12,3.67,1
994,9100,M,81,27,15280,15,1.58,2
995,7900,M,86,62,11260,12,6,1
1000,8980,M,74,59,12700,8,26.5,1
1004,10120,M,72,25,15760,12,2.5,2
1011,8500,M,83,25,13600,12,1.33,2
1012,9700,M,63,25,15760,12,0.75,2
1015,9400,M,78,27,13840,12,3.92,2
1023,10000,M,97,30,19540,16,1.42,1
1028,9400,M,94,29,14560,15,0.25,2
1030,11800,M,65,30,17764,16,6.58,4
1031,9280,M,88,54,13780,12,8.92,1
1032,10900,M,86,32,22750,16,1.58,4
1034,8200,M,90,58,11500,15,4.5,1
1036,9700,M,65,59,12280,15,20.08,1
1039,11200,M,75,28,18820,15,0.42,2
1042,10300,M,73,54,19060,12,11,1
1043,8800,M,79,24,13780,12,0.67,2
1050,8200,M,92,25,15400,12,0.5,2
1051,11992,M,64,29,26300,16,3,4
1054,8380,M,79,24,13900,12,0.42,2
1056,9400,M,90,28,17020,15,1.83,2
1058,11200,M,93,32,24400,16,1.83,1
1059,8500,M,68,23,13120,12,0.17,2
1062,10000,M,90,44,17320,12,0.25,2
1063,10600,M,90,30,19420,16,0,2
1064,9100,M,69,24,13540,12,1.67,2
1066,8080,M,83,59,11920,8,6.25,1
1069,8800,M,87,53,12340,12,13.58,1
1076,8380,M,80,25,11260,12,0,2
1078,9400,M,67,51,12340,12,15.08,2
1081,11800,M,68,27,21400,16,0.92,4
1083,8080,M,84,62,10600,12,24,1
1085,10600,M,98,43,16120,16,11.92,2
1086,8800,M,82,28,17560,12,0.92,1
1087,9700,M,82,30,14260,15,4.25,1
1090,11200,M,78,28,17020,15,0.5,2
1091,9400,M,73,27,15160,12,2.67,2
1092,8380,M,93,25,13720,12,0.42,1
1099,9580,M,72,27,15520,12,1.5,2
1100,8380,M,89,25,14500,12,0,1
1102,8500,M,69,23,13120,12,0,2
1107,7900,M,88,62,10660,8,34.33,1
1108,8500,M,69,23,12280,12,0.17,2
1110,9580,M,64,29,14080,15,4.75,2
1125,8800,M,73,60,12460,8,13.25,2
1127,8080,M,72,56,10780,8,26.58,1
1128,8080,M,82,53,10900,12,29.83,1
1129,8500,M,81,24,13240,12,1.08,2
626,9400,F,88,29,14680,12,3.17,1
629,9400,F,96,39,15640,12,9.42,1
634,10996,F,67,41,17320,16,10,1
636,9100,F,84,44,11860,12,15,1
638,10420,F,67,51,14500,8,8.08,1
640,8800,F,98,27,15340,8,2.17,2
643,10600,F,66,30,15220,15,7,1
654,9100,F,97,53,12700,12,26.25,1
661,9760,F,86,28,14200,12,3.08,2
668,10600,F,83,44,16240,15,18,1
676,10300,F,79,48,17800,8,20.5,3
678,10000,F,92,60,16300,8,36,3
679,10000,F,82,59,13000,15,30.92,1
687,10300,F,68,32,16120,8,12.92,3
689,11200,F,70,47,14800,17,16,1
693,10300,F,76,35,15820,8,12,3
694,10000,F,86,29,14620,12,3.17,1
703,9700,F,94,32,15220,15,3,1
725,10000,F,78,33,14620,16,8.75,2
727,10000,F,87,31,18100,15,4.5,1
730,10000,F,90,37,14980,12,14.42,2
747,10000,F,91,30,16180,12,4.08,1
752,10000,F,77,33,15100,15,4.33,1
773,11800,F,92,40,20080,17,14,1
775,10000,F,83,43,15580,15,9,1
776,10000,F,80,57,12940,12,22.67,1
789,10300,F,67,29,16780,15,4.83,2
792,10000,F,87,30,14680,15,4.67,1
794,8620,F,77,24,15100,12,1,1
799,10300,F,64,29,14500,12,5.75,1
807,9220,F,85,28,14080,12,2.42,1
811,17500,F,74,48,27760,12,22.67,5
820,10300,F,70,34,13600,12,10,1
840,10600,F,83,28,19360,15,5.33,1
846,10300,F,73,38,16480,12,12.92,3
889,10300,F,76,28,14680,12,1.5,2
890,8560,F,81,24,14200,12,0.75,2
891,10000,F,96,31,16540,15,4.08,2
899,9400,F,78,25,16600,12,0.58,1
910,15496,F,70,32,35400,17,5.58,4
914,11200,F,91,41,15340,15,12.58,1
922,10000,F,94,34,16360,12,8.5,2
925,13300,F,88,42,21580,18,15.17,1
926,7600,F,91,53,16300,12,26.17,3
948,21640,F,66,35,44000,16,10.67,5
967,10000,F,78,54,12940,8,26.67,1
972,10000,F,91,45,16300,12,20,3
978,12220,F,66,32,23600,15,7.17,1
1002,11200,F,72,39,18280,16,11.5,1
1006,10300,F,67,47,16000,8,25.42,3
1013,10300,F,78,55,18100,12,23.42,3
1016,9400,F,86,63,14680,12,30.58,1
1018,9400,F,88,57,13480,15,29.92,1
1038,10000,F,79,30,15160,14,3.92,2
1049,10000,F,90,42,13720,15,15.92,3
1052,9700,F,98,33,15100,15,2.83,2
1061,10000,F,92,37,16000,8,12,3
1073,10000,F,83,48,16300,8,25.17,3
1077,7900,F,94,29,13000,8,3,2
1079,10000,F,90,43,16300,12,17.42,3
1080,10000,F,96,33,18400,16,3.83,1
1105,17992,F,67,38,30500,19,8.25,6
1106,10300,F,64,27,14560,15,2.67,1
1116,10300,F,68,30,16780,15,5.83,1
639,8800,M,84,27,13900,12,3.42,1
642,9700,M,88,34,14620,15,5.08,1
647,8080,M,72,46,10960,12,9.67,1
665,8080,M,72,45,12580,8,16.17,1
677,9400,M,78,48,14320,15,4.25,1
681,8500,M,69,24,12520,12,0.25,2
688,8440,M,97,28,13600,15,6.25,1
695,9700,M,93,46,13900,12,16.08,1
699,10300,M,84,55,14860,15,19.25,1
705,9220,M,87,26,14620,12,0.92,2
733,10000,M,69,40,13720,12,10.08,1
744,9100,M,85,33,13600,12,4.92,1
755,8800,M,87,29,15100,12,0.92,1
795,10720,M,98,44,18040,15,11.42,1
798,7900,M,90,48,11860,12,19.08,1
825,8080,M,66,60,10540,12,13.58,1
893,9100,M,87,42,14020,16,10.25,1
895,8800,M,72,32,13900,12,5.67,2
900,9700,M,74,45,13780,12,9.75,1
921,7600,M,97,60,10780,12,10.33,1
935,8080,M,72,51,10780,12,22.58,1
936,9400,M,72,50,14440,12,14.08,1
940,8080,M,81,51,10840,8,0,1
952,8500,M,93,26,13180,12,0,2
956,9100,M,84,38,14560,12,3,1
971,8800,M,84,47,13240,16,17.83,1
976,10000,M,86,40,15940,15,6.58,1
992,8380,M,83,25,12160,12,0.75,1
1010,7600,M,97,51,12460,15,14.25,1
1053,8380,M,93,26,14020,8,0.67,1
1068,8380,M,92,25,12820,12,0.42,2
1072,8500,M,73,47,12220,12,12.83,2
1095,9580,M,69,50,11860,12,11.08,1
1096,7600,M,96,60,11680,15,1.92,1
1098,8080,M,85,54,14980,12,8.42,1
1104,8620,M,96,32,13420,12,4.33,1
1118,8380,M,75,27,13780,12,2.67,2
1119,8440,M,83,25,11680,12,0.58,2
1121,8080,M,85,51,11380,12,19,1
1122,9220,M,70,39,12340,12,10.58,1
